nodeName	altName	nodeAttr[nodesPresent, ]
ENSMUSG00000038217	Tlcd2	pink
ENSMUSG00000038267	Slc22a23	grey
ENSMUSG00000038290	Smg6	pink
ENSMUSG00000038301	Snx10	grey
ENSMUSG00000038520	Tbc1d17	pink
ENSMUSG00000038648	Creb3l2	pink
ENSMUSG00000038844	Kif16b	pink
ENSMUSG00000038970	Lmtk2	grey
ENSMUSG00000038975	Rabggtb	pink
ENSMUSG00000039159	Ube2h	pink
ENSMUSG00000039205	Ciz1	pink
ENSMUSG00000039414	Heatr5b	pink
ENSMUSG00000039615	Stub1	pink
ENSMUSG00000039653	Baat	pink
ENSMUSG00000039917	Rhbdd2	pink
ENSMUSG00000040025	Ythdf2	pink
ENSMUSG00000040033	Stat2	grey
ENSMUSG00000040296	Ddx58	grey
ENSMUSG00000040455	Usp45	pink
ENSMUSG00000040488	Ltbp4	pink
ENSMUSG00000040842	Szrd1	grey
ENSMUSG00000041268	Dmxl2	pink
ENSMUSG00000041530	Eif2c1	pink
ENSMUSG00000041698	Slco1a1	grey
ENSMUSG00000041769	Ppp2r2d	pink
ENSMUSG00000042046	Dstyk	pink
ENSMUSG00000042286	Stab1	pink
ENSMUSG00000042302	Ehbp1	pink
ENSMUSG00000042305	Tmem183a	pink
ENSMUSG00000042520	Ubap2l	grey
ENSMUSG00000042688	Mapk6	grey
ENSMUSG00000042709	Atpaf2	pink
ENSMUSG00000042770	Hebp1	pink
ENSMUSG00000042988	Notum	pink
ENSMUSG00000044080	S100a1	pink
ENSMUSG00000044393	Dsg2	pink
ENSMUSG00000045962	Wnk1	pink
ENSMUSG00000046897	Zfp740	pink
ENSMUSG00000047412	Zbtb44	pink
ENSMUSG00000049232	Tigd2	grey
ENSMUSG00000049577	Zfpm1	pink
ENSMUSG00000051451	Crebzf	pink
ENSMUSG00000052085	Dock8	pink
ENSMUSG00000052539	Magi3	pink
ENSMUSG00000052915	Msl1	pink
ENSMUSG00000054766	Set	grey
ENSMUSG00000054855	Rnd1	pink
ENSMUSG00000055053	Nfic	pink
ENSMUSG00000055401	Fbxo6	pink
ENSMUSG00000055912	Tmem150a	pink
ENSMUSG00000056537	Rlim	pink
ENSMUSG00000057103	Cml1	pink
ENSMUSG00000057113	Npm1	pink
ENSMUSG00000058301	Upf1	grey
ENSMUSG00000058569	Tmed9	pink
ENSMUSG00000059182	Skap2	pink
ENSMUSG00000060373	Hnrnpc	pink
ENSMUSG00000060475	Wtap	pink
ENSMUSG00000060538	Tmem219	pink
ENSMUSG00000061410	Zcchc14	grey
ENSMUSG00000061477	Rps7	grey
ENSMUSG00000062234	Gak	pink
ENSMUSG00000063077	Kif1b	pink
ENSMUSG00000064215	Ifi27l1	pink
ENSMUSG00000064791	Snord14e	pink
ENSMUSG00000065954	Tacc1	pink
ENSMUSG00000066151	Fkbp15	pink
ENSMUSG00000067847	Romo1	pink
ENSMUSG00000067851	Arfgef1	grey
ENSMUSG00000068551	Zfp467	pink
ENSMUSG00000069565	Dazap1	grey
ENSMUSG00000070348	Ccnd1	pink
ENSMUSG00000070576	Mn1	pink
ENSMUSG00000071177	Serpina1d	grey
ENSMUSG00000071551	Akr1c19	pink
ENSMUSG00000073609	D2hgdh	pink
ENSMUSG00000074733	5830428H23Rik	pink
ENSMUSG00000075595	Zfp652	pink
ENSMUSG00000075700	2810407C02Rik	pink
ENSMUSG00000075703	Ept1	grey
ENSMUSG00000076435	Acsf2	pink
ENSMUSG00000079065	BC005561	pink
ENSMUSG00000084786	Ubl5	pink
ENSMUSG00000090262	Mpv17	pink
ENSMUSG00000091867	Cyp2a22	pink
ENSMUSG00000093077	Mir5105	pink
ENSMUSG00000093674	Rpl41	pink
ENSMUSG00000093904	Tomm20	pink
ENSMUSG00000096188	Cmtm4	grey
NA	NA	pink
NA	NA	grey
NA	NA	grey
NA	NA	pink
NA	NA	grey
NA	NA	pink
NA	NA	pink
NA	NA	pink
NA	NA	grey
NA	NA	grey
NA	NA	grey
NA	NA	pink
NA	NA	pink
NA	NA	grey
NA	NA	grey
NA	NA	pink
NA	NA	grey
NA	NA	grey
NA	NA	pink
NA	NA	pink
NA	NA	pink
NA	NA	pink
NA	NA	pink
NA	NA	grey
NA	NA	grey
NA	NA	pink
NA	NA	pink
NA	NA	grey
NA	NA	pink
NA	NA	pink
NA	NA	grey
NA	NA	pink
NA	NA	pink
NA	NA	grey
NA	NA	pink
NA	NA	grey
NA	NA	grey
NA	NA	pink
NA	NA	grey
